country,cid,metric,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
American Samoa,ASM,unemployment,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.099999905,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.199999809,NaN,NaN,NaN,NaN,NaN
Andorra,ADO,GDP,691276900,744521400,770274000,819228800,883347000,931789600,1038925600,1088194100,1163747900,1521400000,1658390000,1825000000,2103300000,2349180000,2611890000,2819050000,2930430000,2731620000,2627330000,2526620000,2465400000,2448650000,2447090000,NaN,NaN
Andorra,ADO,internet_users,NaN,NaN,NaN,NaN,NaN,1.526601023,3.050175385,6.886209218,7.635686143,10.53883561,NaN,11.26046872,13.54641288,26.83795439,37.60576622,48.936847,70.87,70.04,78.53,81,81,86.43442462,94,95.9,NaN
Andorra,ADO,unemployment,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Angola,AGO,GDP,800,2600,26900,620200,13662000,835493000,1751785000,2531764000,17171000000,91666100000,1.97111E+11,6.65385E+11,1.32894E+12,1.96757E+12,3.22235E+12,4.20976E+12,5.00634E+12,6.64335E+12,5.80348E+12,7.66213E+12,1.04165E+13,1.19746E+13,1.33607E+13,NaN,NaN
Angola,AGO,internet_users,NaN,NaN,NaN,NaN,NaN,0.000775929,0.005673746,0.018453724,0.071964087,0.105045562,0.136013867,0.270376746,0.370682065,0.464814618,1.143366827,1.907647507,3.2,4.6,6,10,14.776,16.93721011,19.1,21.26,NaN
Angola,AGO,unemployment,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Antigua and Barbuda,ATG,GDP,1108050000,1144160000,1232650000,1350240000,1334300000,1460900000,1565600000,1674100000,1760000000,2116362200,2089166000,2166829200,2267990200,2425561600,2692910100,3064887700,3480986700,3637844600,3257308000,3065955400,3050779600,3252725400,3241586300,3296635230,NaN
Antigua and Barbuda,ATG,internet_users,NaN,NaN,NaN,NaN,2.200768802,2.858449577,3.480536838,4.0717165,5.300681138,6.482225737,8.899285515,12.5,17.22864878,24.26654372,27,30,34,38,42,47,52,58,63.4,64,NaN
Antigua and Barbuda,ATG,unemployment,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.399999619,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Arab World,ARB,GDP,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Arab World,ARB,internet_users,NaN,NaN,NaN,NaN,0.017025049,0.037760688,0.131045577,0.261615115,0.59858215,1.139541123,1.56128817,2.693061013,3.645880783,7.006812461,8.393141725,11.65464791,14.20590224,18.59353118,21.5453539,24.5357799,26.53401309,29.95430206,32.34204501,34.51737473,NaN
Arab World,ARB,unemployment,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.24231649,NaN,NaN,NaN,14.77337242,NaN,10.99264247,9.940471627,10.53542643,9.560560087,NaN,10.33333408,NaN,NaN,NaN,NaN
Argentina,ARG,GDP,1.80898E+11,2.26638E+11,2.36505E+11,2.5744E+11,2.58032E+11,2.7215E+11,2.92859E+11,2.98948E+11,2.83523E+11,2.84204E+11,2.68697E+11,3.1258E+11,3.7591E+11,5.35828E+11,6.47257E+11,8.08593E+11,1.02734E+12,1.28391E+12,1.41153E+12,1.81083E+12,2.31201E+12,2.76558E+12,3.40627E+12,4.42569E+12,NaN
Argentina,ARG,internet_users,NaN,0.002992874,0.029527065,0.043705951,0.086277081,0.141954704,0.280339882,0.83076668,3.284481956,7.038683086,9.780807285,10.88212438,11.91369655,16.03668411,17.72058337,20.9272021,25.94663294,28.11262348,34,45,51,55.8,59.9,64.7,NaN
Argentina,ARG,unemployment,5.800000191,6.699999809,10.10000038,12.10000038,18.79999924,17.20000076,14.89999962,12.80000019,14.10000038,15,18.29999924,17.89999962,16.10000038,12.60000038,10.60000038,10.10000038,8.5,7.800000191,8.600000381,7.699999809,7.199999809,7.199999809,6.599999905,7.300000191,NaN
Armenia,ARM,GDP,79690000,310190016,4218409984,1.87065E+11,5.22256E+11,6.61209E+11,8.04335E+11,9.55385E+11,9.87444E+11,1.03134E+12,1.17588E+12,1.36247E+12,1.62464E+12,1.90795E+12,2.24288E+12,2.65619E+12,3.14928E+12,3.56823E+12,3.14165E+12,3.4602E+12,3.77795E+12,4.26646E+12,4.55564E+12,4.84315E+12,NaN
Armenia,ARM,internet_users,NaN,NaN,NaN,0.009117014,0.052743123,0.094572902,0.111650935,0.128659478,0.970737757,1.300470022,1.631094667,1.960405046,4.575217225,4.899008571,5.252983352,5.631787777,6.021253397,6.21,15.3,25,32,37.5,41.9,46.3,NaN
Armenia,ARM,unemployment,NaN,NaN,NaN,NaN,NaN,NaN,36.40000153,NaN,NaN,NaN,35.90000153,NaN,NaN,NaN,NaN,NaN,28.39999962,16.39999962,18.70000076,19,18.39999962,17.29999924,16.20000076,NaN,NaN
Aruba,ABW,GDP,NaN,NaN,NaN,2381000000,2364000000,2470000000,2742000000,2981000000,3083810000,3353480000,3437270000,3474560000,3618130000,3988620000,4172500000,4334440000,4696470000,4997610000,4473090000,4417190000,4626190000,NaN,NaN,NaN,NaN
Aruba,ABW,internet_users,NaN,NaN,NaN,NaN,NaN,2.768382663,NaN,NaN,4.506179098,15.44282295,17.1,18.8,20.8,23,25.4,28,30.9,52,58,62,69,74,78.9,83.78,NaN
Aruba,ABW,unemployment,6.099999905,NaN,NaN,6.699999809,NaN,NaN,7.5,NaN,NaN,6.900000095,6.900000095,NaN,NaN,NaN,NaN,NaN,5.699999809,NaN,NaN,10.60000038,NaN,NaN,NaN,NaN,NaN
Australia,AUS,GDP,4.14815E+11,4.22927E+11,4.43968E+11,4.66615E+11,4.95554E+11,5.2896E+11,5.56573E+11,5.88679E+11,6.20243E+11,6.60728E+11,7.05221E+11,7.53388E+11,8.0072E+11,8.61327E+11,9.21929E+11,9.97534E+11,1.08653E+12,1.17794E+12,1.25846E+12,1.2968E+12,1.4098E+12,1.49105E+12,1.52438E+12,1.58458E+12,NaN
Australia,AUS,internet_users,1.097203891,1.768764913,1.974611016,2.232101254,2.759654513,3.27524987,16.36935838,30.81323944,40.7837839,46.75611561,52.68926643,NaN,NaN,NaN,63,66,69.45,71.67,74.25,76,79.48769771,79,83,84.56,NaN
Australia,AUS,unemployment,9.600000381,10.80000019,10.89999962,9.800000191,8.5,8.600000381,8.5,7.800000191,7,6.300000191,6.800000191,6.400000095,5.900000095,5.400000095,5,4.800000191,4.400000095,4.199999809,5.599999905,5.199999809,5.099999905,5.199999809,5.699999809,6.099999905,NaN
Austria,AUT,GDP,1.47109E+11,1.55414E+11,1.6054E+11,1.68548E+11,1.76183E+11,1.82133E+11,1.8831E+11,1.95828E+11,2.03418E+11,2.13196E+11,2.20096E+11,2.26303E+11,2.30999E+11,2.41505E+11,2.53009E+11,2.66478E+11,2.82347E+11,2.9193E+11,2.86188E+11,2.94628E+11,3.0863E+11,3.17056E+11,3.22878E+11,3.29296E+11,NaN
Austria,AUT,internet_users,0.259081553,0.642817619,0.76534273,1.393422968,1.890210524,6.909162353,9.533974317,15.42121932,23.0443171,33.73013295,39.18545018,36.56,42.7,54.28,58,63.6,69.37,72.87,73.45,75.17,78.7399931,80.02999392,80.6188,81,NaN
Austria,AUT,unemployment,3.400000095,3.599999905,4.300000191,3.5,4.300000191,5.300000191,5.099999905,5.5,4.699999809,4.699999809,4,4.800000191,4.800000191,5.800000191,5.599999905,5.199999809,4.900000095,4.099999905,5.300000191,4.800000191,4.599999905,4.900000095,5.300000191,5.599999905,NaN
Azerbaijan,AZE,GDP,534400,4820100,31416400,374677400,2133800000,2732640000,3158280000,3440620000,3775080000,4718100000,5315600000,6062440000,7146500000,8530300000,12522500000,18746230000,28360500000,40137200000,35601500000,42465000000,52082000000,53995000000,57708200000,58977800000,NaN
Azerbaijan,AZE,internet_users,NaN,NaN,NaN,0.001431415,0.002055556,0.006354585,0.025187933,0.037485109,0.099228942,0.147757576,0.305564638,4.999713678,NaN,NaN,8.030375356,11.99217733,14.54,17.08,27.4,46,50,54.2,58.7,61,NaN
Azerbaijan,AZE,unemployment,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.29999924,11.80000019,10.89999962,10,9.199999809,8,7.300000191,6.599999905,6.300000191,5.900000095,5.699999809,5.599999905,5.400000095,5.199999809,5,4.900000095,NaN
"Bahamas, The",BHS,GDP,3111160000,3109000000,3092000000,3259000000,3429000000,3609000000,4961119000,5353524000,6019972000,6327552000,6516651000,6957996000,6949317000,7094413000,7706222000,7965588000,8318996000,8246650000,7820420000,7909580000,7889750000,8234470000,8431750000,8510500000,NaN
"Bahamas, The",BHS,internet_users,NaN,NaN,NaN,NaN,0.960030721,1.746950698,1.362953903,2.33559071,3.764557822,8,11.8,18,20,22,25,26,27,31.54,33.88,43,65,71.74820281,72,76.92,NaN
"Bahamas, The",BHS,unemployment,12.19999981,14.69999981,13,13.39999962,10.80000019,11.5,9.800000191,7.599999905,7.400000095,NaN,6.900000095,9,10.80000019,10.30000019,10.19999981,7.599999905,7.900000095,8.699999809,14.19999981,NaN,13.69999981,14,16.20000076,NaN,NaN
Bahrain,BHR,GDP,1735700000,1786400000,1955300000,2093400100,2199399900,2294299900,2387300100,2325100000,2489499900,3407653000,3375054100,3621690300,4164133100,4944462700,6004241300,6957900000,8170480000,9667290000,8624770000,9668190000,10920570000,11564430000,12369500000,12728000000,NaN
Bahrain,BHR,internet_users,NaN,NaN,NaN,NaN,0.346205844,0.843254219,1.646299202,3.218202151,4.720358118,6.153732546,15.03863425,18.05072089,21.55494499,21.45868051,21.30373351,28.24395243,32.91,51.95,53,55,76.9999665,88,90.0000397,90.99998,NaN
Bahrain,BHR,unemployment,6.300000191,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.5,NaN,NaN,9,NaN,NaN,NaN,NaN,NaN,1.100000024,1.200000048,1.200000048,NaN,NaN,NaN
Bangladesh,BGD,GDP,1.10518E+12,1.19542E+12,1.25369E+12,1.35412E+12,1.52518E+12,1.89933E+12,2.06003E+12,2.2693E+12,2.46509E+12,2.68503E+12,2.91337E+12,3.1428E+12,3.4832E+12,3.83294E+12,4.27074E+12,4.82337E+12,5.498E+12,6.28682E+12,7.05072E+12,7.97539E+12,9.15829E+12,1.0552E+13,1.19892E+13,1.34367E+13,NaN
Bangladesh,BGD,internet_users,NaN,NaN,NaN,NaN,NaN,NaN,0.000751046,0.003684813,0.036170407,0.071039423,0.129807974,0.139920289,0.163877665,0.199036334,0.241637326,1,1.8,2.5,3.1,3.7,4.5,5,6.63,9.6,NaN
Bangladesh,BGD,unemployment,1.899999976,NaN,NaN,NaN,NaN,2.5,NaN,NaN,NaN,3.299999952,NaN,NaN,4.300000191,NaN,4.300000191,NaN,NaN,NaN,5,4.5,NaN,NaN,NaN,NaN,NaN
Barbados,BRB,GDP,4064000000,3914000000,4150000000,4327000000,4550000000,4851000000,5127000000,5781000000,6058000000,6243000000,6233000000,6339000000,6550000000,7029000000,7795000000,8607000000,9092000000,9190000000,9204000000,8891000000,8716000000,8626000000,8562000000,8709000000,NaN
Barbados,BRB,internet_users,NaN,NaN,NaN,NaN,0.007752238,0.389464214,0.783428912,1.970249237,2.376247035,3.973678355,11.93645034,27.83632242,39.68962712,49.8,52.5,55.3,58.2,61.4,64.7,65.1,67,70,73,76.67,NaN
Barbados,BRB,unemployment,17.10000038,22.89999962,25.60000038,23,19.70000076,14.69999981,14.60000038,12.30000019,10.39999962,9.300000191,9.800000191,10.30000019,11,9.800000191,9.100000381,8.699999809,7.400000095,8.100000381,10,10.80000019,11.19999981,11.60000038,11.5,NaN,NaN
Belarus,BLR,GDP,8710000,92450000,985320000,17793200000,1.21403E+11,1.91839E+11,3.6683E+11,7.02161E+11,3.02606E+12,9.1338E+12,1.71732E+13,2.61383E+13,3.65648E+13,4.99918E+13,6.50671E+13,7.9267E+13,9.71653E+13,1.29791E+14,1.37442E+14,1.64476E+14,2.97158E+14,5.30356E+14,6.49111E+14,7.78456E+14,NaN
Belarus,BLR,internet_users,NaN,NaN,NaN,0.000485951,0.002921254,0.029298294,0.049020891,0.073868897,0.494881245,1.860398126,4.300616022,8.950971315,NaN,NaN,NaN,16.2,19.7,23,27.43,31.8,39.64889566,46.91,54.17,59.02,NaN
Belarus,BLR,unemployment,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.099999905,1.200000048,0.699999988,0.600000024,0.5,0.5,NaN
Belgium,BEL,GDP,1.79152E+11,1.88123E+11,1.93753E+11,2.04194E+11,2.11616E+11,2.15942E+11,2.25969E+11,2.3449E+11,2.44226E+11,2.58222E+11,2.65788E+11,2.75065E+11,2.82637E+11,2.98711E+11,3.11481E+11,3.26662E+11,3.44713E+11,3.54066E+11,3.48781E+11,3.65101E+11,3.79106E+11,3.87419E+11,3.92699E+11,4.00643E+11,NaN
Belgium,BEL,internet_users,0.020072645,0.100041027,0.199446059,0.69599469,0.99166299,2.968411647,4.93808091,7.886622701,13.77221446,29.43169169,31.28839551,46.33,49.97,53.86,55.82,59.72,64.44,66,70,75,81.609996,80.71999055,82.1702,85,NaN
Belgium,BEL,unemployment,7,6.699999809,8.100000381,9.600000381,9.300000191,9.5,9,9.300000191,8.600000381,6.599999905,6.199999809,7.5,8.300000191,8.5,8.399999619,8.199999809,7.5,7,7.900000095,8.300000191,7.099999905,7.5,8.399999619,8.5,NaN
Belize,BLZ,GDP,889441500,1036478184,1119716477,1161727409,1240280772,1282767649,1308628708,1377984915,1465464706,1664144929,1743721222,1865103741,1980700000,2115700000,2228405400,2434884300,2581085100,2737250300,2673914500,2794226900,2974011200,3147734600,3248588500,3398308264,NaN
Belize,BLZ,internet_users,NaN,NaN,NaN,NaN,0.04539718,0.882807327,1.288582302,2.091516391,4.076740564,5.963835303,NaN,5.684251214,NaN,9.8,17,24,24.6,26.3,27.2,28.2,30.7,31,33.6,38.7,NaN
Belize,BLZ,unemployment,3.900000095,NaN,9.800000191,11.10000038,12.5,13.80000019,12.69999981,14.30000019,12.80000019,NaN,9.100000381,10,NaN,NaN,11,9.399999619,8.5,8.199999809,NaN,23.29999924,NaN,14.39999962,11.69999981,NaN,NaN
Benin,BEN,GDP,5.60388E+11,5.94416E+11,6.4407E+11,8.87259E+11,1.08297E+12,1.20783E+12,1.32394E+12,1.44839E+12,1.6561E+12,1.8292E+12,1.9647E+12,2.129E+12,2.2698E+12,2.3886E+12,2.5338E+12,2.6889E+12,2.861E+12,3.1941E+12,3.3512E+12,3.4522E+12,3.6872E+12,4.144E+12,4.5011E+12,4.7342E+12,NaN
Benin,BEN,internet_users,NaN,NaN,NaN,NaN,NaN,0.0016931,0.024648796,0.047877304,0.154906741,0.225247851,0.36341789,0.702945595,0.951327115,1.182540965,1.271031439,1.537854346,1.79,1.85,2.24,3.13,4.148323066,4.5,4.9,5.3,NaN
Benin,BEN,unemployment,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.699999988,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN
Bermuda,BMU,GDP,1634899968,1679900032,1820359936,1867160064,2030749952,2695390000,2932827000,3130748000,3324433000,3480219000,3680483000,3937228000,4186525000,4484703000,4868136000,5414299000,5895048000,6109928000,5806378000,5744414000,5550771000,5537537000,5573710000,NaN,NaN
Bermuda,BMU,internet_users,NaN,NaN,NaN,NaN,6.838163465,16.20246602,24.18925674,32.10375935,39.94758876,42.94986002,47.5096999,52.03159737,56.52201218,60.99086701,65.44706579,69.89965516,74.35059403,82.3,83.25,84.21,88.336,91.29930452,95.3,96.8,NaN
Bermuda,BMU,unemployment,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.700000048,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.5,NaN,NaN,8.399999619,6.699999809,NaN,NaN
Bhutan,BTN,GDP,5686042400,6500589800,7172454500,8495045100,9828023800,11210791100,13288171000,15553166900,18043682000,19735771000,22479461300,26106007000,28973976100,31845549100,36112129300,40673522200,49456602000,54744000000,61221000000,72497000000,84950000000,97453000000,1.05378E+11,1.19546E+11,NaN
Bhutan,BTN,internet_users,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.137571514,0.400944447,0.864628564,1.675802584,2.436912399,3.156984196,3.847106745,4.518317258,5.92,6.55,7.17,13.6,21,24,29.9,34.37,NaN
Bhutan,BTN,unemployment,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.399999976,1.399999976,NaN,1.899999976,NaN,1.799999952,2.5,3.099999905,3.099999905,3.700000048,NaN,4,3.299999952,3.099999905,2.099999905,2.900000095,2.599999905,NaN
Bolivia,BOL,GDP,19132128000,22014006000,24458969000,27636342000,32235073000,37536647000,41643866000,46822326000,48156175000,51928492000,53790327000,56682329000,61904449000,69626113000,77023817000,91747795000,1.03009E+11,1.20694E+11,1.21727E+11,1.37876E+11,1.66232E+11,1.87154E+11,2.11856E+11,2.28004E+11,NaN
Bolivia,BOL,internet_users,NaN,NaN,NaN,NaN,0.066807568,0.196081174,0.447839036,0.626484062,0.981815187,1.442763585,2.120462534,3.117192947,3.508596401,4.439924601,5.227583957,6.200671255,10.49924432,12.5,16.8,22.4,30,35.34,36.94,39.02,NaN
Bolivia,BOL,unemployment,6.599999905,5.5,6,3.099999905,3.599999905,5.199999809,3.700000048,NaN,4.300000191,4.800000191,5.400000095,5.400000095,NaN,4.300000191,5.400000095,5.300000191,5.199999809,2.900000095,3.400000095,NaN,2.700000048,NaN,NaN,NaN,NaN
Bosnia and Herzegovina,BIH,GDP,NaN,NaN,NaN,2034400000,2674985700,4192441000,6367297000,7244156000,8602999800,11689205000,12564994000,13821248000,14505245000,15785974000,17148374000,19566978000,22065278000,24984116000,24307243000,24878693000,25772212000,25734322000,26282232000,26957624000,NaN
Bosnia and Herzegovina,BIH,internet_users,NaN,NaN,NaN,NaN,NaN,0.015125563,0.059425563,0.14367106,0.1943742,1.08296075,1.200526951,2.648267914,3.965036834,15.46897162,21.326701,25.12238569,27.92,34.66,37.74,42.75,47.77,52.78,57.79,60.8,NaN
Bosnia and Herzegovina,BIH,unemployment,17.60000038,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.79999924,29.70000076,23.89999962,24.10000038,27.20000076,27.60000038,28.10000038,27.5,NaN,NaN
Botswana,BWA,GDP,7970750000,8747900000,10080305000,11434600000,13114200000,16114900000,18327800000,20244000000,25361400000,29530900000,32065900000,34416000000,37181580600,42036500200,50752072000,59106901000,67152660800,74720901400,73462332800,86867467200,1.07243E+11,1.12705E+11,1.2581E+11,1.41942E+11,NaN
Botswana,BWA,internet_users,0,NaN,NaN,NaN,0.064521041,0.15745423,0.30774685,0.602400929,1.122391474,2.902666622,3.430886787,3.385922351,3.345190174,3.304889253,3.262554036,4.289932975,5.28,6.25,6.15,6,8,11.5,15,18.5,NaN
Botswana,BWA,unemployment,13.80000019,NaN,NaN,21.20000076,NaN,21.5,NaN,20.79999924,NaN,15.80000019,18.60000038,NaN,23.79999924,NaN,NaN,17.60000038,NaN,NaN,NaN,17.89999962,NaN,NaN,NaN,NaN,NaN
Brazil,BRA,GDP,60286000,640958800,14097114200,3.56801E+11,7.20985E+11,8.57857E+11,9.55464E+11,1.00599E+12,1.09228E+12,1.20238E+12,1.31632E+12,1.49118E+12,1.72007E+12,1.95871E+12,2.17174E+12,2.4098E+12,2.71803E+12,3.10753E+12,3.32817E+12,3.88684E+12,4.37477E+12,4.7131E+12,5.15757E+12,5.52126E+12,NaN
Brazil,BRA,internet_users,0.003288171,0.012946262,0.025498253,0.037672709,0.105138168,0.450789179,0.786079155,1.477874959,2.038732184,2.870685159,4.528494869,9.149425086,13.2075861,19.07367227,21.02274725,28.17838018,30.88,33.83,39.22,40.65,45.69,48.56,51.04,57.6,NaN
Brazil,BRA,unemployment,NaN,6.400000095,6,NaN,6,6.800000191,7.699999809,8.899999619,9.600000381,NaN,9.399999619,9.100000381,9.699999809,8.899999619,9.300000191,8.399999619,8.100000381,7.099999905,8.300000191,NaN,6.699999809,6.099999905,6.5,4.800000191,NaN
Brunei Darussalam,BRN,GDP,6395000000,6815000000,6634000000,6243000000,6710000000,7213000000,7717000000,6780000000,7797000000,10345988300,10035474000,10463065100,11424185700,13305817600,15864066900,18225800000,18458500000,20397900000,15611300000,16867335000,20996279600,21185100000,20157700000,21671600000,NaN
Brunei Darussalam,BRN,internet_users,NaN,NaN,NaN,NaN,1.017080166,3.303349927,4.831057905,6.284742844,7.671041206,8.996284534,12.91776908,15.32987986,19.59500322,29.71560414,36.46639195,42.18634916,44.68,46,49,53,56,60.27306504,64.5,68.77,NaN
Brunei Darussalam,BRN,unemployment,4.699999809,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.700000048,NaN,NaN,NaN,NaN
Bulgaria,BGR,GDP,135700000,200800000,298900000,525600000,877862000,1798463000,18829931000,25756368000,24799877000,27917359000,30881595000,33980440000,36516263000,41101640000,46942279000,53490926000,63970233000,73094768000,72843785000,73780127000,80099943000,81543693000,81971003000,83612282000,NaN
Bulgaria,BGR,internet_users,NaN,NaN,0.002339042,0.019526669,0.119665549,0.725251167,1.219813132,1.844965121,2.908154025,5.370923469,7.612297749,9.08,12.04,18.13,19.97,27.09,33.64,39.67,45,46.23,47.97999305,51.89998767,53.0615,55.49,NaN
Bulgaria,BGR,unemployment,NaN,NaN,21.39999962,20.20000076,15.89999962,13.69999981,13.69999981,12.19999981,14.10000038,16.20000076,19.89999962,18.10000038,13.69999981,12,10.10000038,9,6.900000095,5.599999905,6.800000191,10.19999981,11.30000019,12.30000019,12.89999962,11.39999962,NaN
Burkina Faso,BFA,GDP,8.84418E+11,8.88489E+11,9.05989E+11,1.05227E+12,1.18773E+12,1.32316E+12,1.42863E+12,1.65476E+12,1.85613E+12,1.87442E+12,2.06192E+12,2.23426E+12,2.44435E+12,2.55613E+12,2.88141E+12,3.05612E+12,3.24525E+12,3.74797E+12,3.95181E+12,4.44757E+12,5.06032E+12,5.70058E+12,5.98488E+12,6.20087E+12,NaN
Burkina Faso,BFA,internet_users,NaN,NaN,NaN,NaN,NaN,0.000960519,0.018686353,0.045423484,0.061780293,0.077080169,0.157732465,0.200992598,0.373440303,0.400295285,0.469914489,0.632707564,0.75,0.92,1.13,2.4,3,3.725034916,9.1,9.4,NaN
Burkina Faso,BFA,unemployment,NaN,NaN,NaN,2.599999905,NaN,NaN,NaN,2.400000095,NaN,NaN,NaN,NaN,2.799999952,NaN,2.700000048,2.299999952,3.299999952,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Burundi,BDI,GDP,2.11898E+11,2.256E+11,2.279E+11,2.33721E+11,2.49865E+11,2.631E+11,3.428E+11,4.002E+11,4.554E+11,6.27333E+11,7.28046E+11,7.68235E+11,8.49483E+11,1.00762E+12,1.2084E+12,1.3097E+12,1.4671E+12,1.9109E+12,2.14024E+12,2.49456E+12,2.97065E+12,3.56643E+12,4.2213E+12,4.7849E+12,NaN
Burundi,BDI,internet_users,0,0,0,0,0,0.000803592,0.007979439,0.015842776,0.039204469,0.077248447,0.106001245,0.118228412,0.201273197,0.349060462,0.542142866,0.65759259,0.7,0.81,0.9,1,1.11,1.219999945,1.3,1.38,NaN
Burundi,BDI,unemployment,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.600000024,NaN,NaN,NaN,NaN,NaN,NaN,NaN
