Country Name,Country Code,Series Name,Series Code,1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Algeria,DZA,Improved water source (% of population with access),SH.H2O.SAFE.ZS,91.6,91.7,91.8,91.5,91.2,90.9,90.5,90.2,89.9,89.5,89.2,88.8,88.5,88.1,87.7,87.4,87,86.6,86.2,85.7,85.3,84.9,84.5,84,83.6
American Samoa,ASM,"Gross enrolment ratio, tertiary, both sexes (%)",SE.TER.ENRR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,GDP (current LCU),NY.GDP.MKTP.CN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Internet users (per 100 people),IT.NET.USER.P2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,..,..,..,..,..,..,..,5.099999905,..,..,..,..,..,..,..,..,..,9.199999809,..,..,..,..,..
American Samoa,ASM,Improved water source (% of population with access),SH.H2O.SAFE.ZS,94,94.4,94.8,95.3,95.7,96.1,96.5,96.9,97.4,97.8,98.2,98.6,99,99.4,99.9,100,100,100,100,100,100,100,100,100,100
Andorra,ADO,"Gross enrolment ratio, tertiary, both sexes (%)",SE.TER.ENRR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,ADO,GDP (current LCU),NY.GDP.MKTP.CN,691276900,744521400,770274000,819228800,883347000,931789600,1038925600,1088194100,1163747900,1521400000,1658390000,1825000000,2103300000,2349180000,2611890000,2819050000,2930430000,2731620000,2627330000,2526620000,2465400000,2448650000,2447090000,..,..
Andorra,ADO,Internet users (per 100 people),IT.NET.USER.P2,..,..,..,..,..,1.526601023,3.050175385,6.886209218,7.635686143,10.53883561,..,11.26046872,13.54641288,26.83795439,37.60576622,48.936847,70.87,70.04,78.53,81,81,86.43442462,94,95.9,..
Andorra,ADO,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,ADO,Improved water source (% of population with access),SH.H2O.SAFE.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Angola,AGO,"Gross enrolment ratio, tertiary, both sexes (%)",SE.TER.ENRR,0.62555,0.58608,..,..,..,..,..,0.65358,0.59570998,..,..,0.863610029,3.193069935,2.396670103,2.962680101,2.898269892,..,..,..,..,7.49503994,..,..,..,..
Angola,AGO,GDP (current LCU),NY.GDP.MKTP.CN,800,2600,26900,620200,13662000,835493000,1751785000,2531764000,17171000000,91666100000,1.97111E+11,6.65385E+11,1.32894E+12,1.96757E+12,3.22235E+12,4.20976E+12,5.00634E+12,6.64335E+12,5.80348E+12,7.66213E+12,1.04165E+13,1.19746E+13,1.33607E+13,..,..
Angola,AGO,Internet users (per 100 people),IT.NET.USER.P2,..,..,..,..,..,0.000775929,0.005673746,0.018453724,0.071964087,0.105045562,0.136013867,0.270376746,0.370682065,0.464814618,1.143366827,1.907647507,3.2,4.6,6,10,14.776,16.93721011,19.1,21.26,..
Angola,AGO,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,Improved water source (% of population with access),SH.H2O.SAFE.ZS,45.8,45.8,45.9,46.3,46.1,45.9,45.8,45.7,45.7,45.7,45.7,45.7,45.8,45.9,46,46.2,46.4,46.6,46.9,47.1,47.5,47.8,48.2,48.6,49
Antigua and Barbuda,ATG,"Gross enrolment ratio, tertiary, both sexes (%)",SE.TER.ENRR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14.81005001,16.2319603,14.36835957,23.48624039,..,..,..
Antigua and Barbuda,ATG,GDP (current LCU),NY.GDP.MKTP.CN,1108050000,1144160000,1232650000,1350240000,1334300000,1460900000,1565600000,1674100000,1760000000,2116362200,2089166000,2166829200,2267990200,2425561600,2692910100,3064887700,3480986700,3637844600,3257308000,3065955400,3050779600,3252725400,3241586300,3296635230,..
Antigua and Barbuda,ATG,Internet users (per 100 people),IT.NET.USER.P2,..,..,..,..,2.200768802,2.858449577,3.480536838,4.0717165,5.300681138,6.482225737,8.899285515,12.5,17.22864878,24.26654372,27,30,34,38,42,47,52,58,63.4,64,..
Antigua and Barbuda,ATG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,6,..,..,..,..,..,..,..,..,..,8.399999619,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,Improved water source (% of population with access),SH.H2O.SAFE.ZS,97.5,97.5,97.5,97.5,97.6,97.6,97.6,97.6,97.7,97.7,97.7,97.7,97.8,97.8,97.8,97.8,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9
Arab World,ARB,"Gross enrolment ratio, tertiary, both sexes (%)",SE.TER.ENRR,10.88624954,11.56606007,12.51336002,13.15968037,14.0307703,15.04125977,15.95238972,16.73743057,18.11322021,18.24913979,18.88586044,19.63330078,19.50867081,20.61352921,21.62900925,22.16217041,22.8302803,23.54254913,24.22407913,24.94405937,24.60856056,25.98411942,27.45988083,..,..
Arab World,ARB,GDP (current LCU),NY.GDP.MKTP.CN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Arab World,ARB,Internet users (per 100 people),IT.NET.USER.P2,..,..,..,..,0.017025049,0.037760688,0.131045577,0.261615115,0.59858215,1.139541123,1.56128817,2.693061013,3.645880783,7.006812461,8.393141725,11.65464791,14.20590224,18.59353118,21.5453539,24.5357799,26.53401309,29.95430206,32.34204501,34.51737473,..
Arab World,ARB,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,..,..,..,..,..,..,..,12.24231649,..,..,..,14.77337242,..,10.99264247,9.940471627,10.53542643,9.560560087,..,10.33333408,..,..,..,..
Arab World,ARB,Improved water source (% of population with access),SH.H2O.SAFE.ZS,83.64372819,83.6241175,82.03331852,82.09645398,82.24857468,82.33108846,82.34999903,82.42117739,82.47936795,82.55341151,82.61070974,82.89962982,82.96997562,83.06684944,83.13741751,83.21754708,83.30743638,83.35718201,83.47970854,83.54541109,83.77660793,85.4178503,87.86049693,87.84375729,92.02915122
Argentina,ARG,"Gross enrolment ratio, tertiary, both sexes (%)",SE.TER.ENRR,38.38254,..,..,36.85111,..,..,..,46.01428,47.88291931,53.07049942,58.27671814,62.2298584,64.86004639,65.35836792,63.98480988,67.09056854,66.7280426,68.68689728,71.25093842,74.82965851,78.62610626,80.30780792,..,..,..
Argentina,ARG,GDP (current LCU),NY.GDP.MKTP.CN,1.80898E+11,2.26638E+11,2.36505E+11,2.5744E+11,2.58032E+11,2.7215E+11,2.92859E+11,2.98948E+11,2.83523E+11,2.84204E+11,2.68697E+11,3.1258E+11,3.7591E+11,5.35828E+11,6.47257E+11,8.08593E+11,1.02734E+12,1.28391E+12,1.41153E+12,1.81083E+12,2.31201E+12,2.76558E+12,3.40627E+12,4.42569E+12,..
Argentina,ARG,Internet users (per 100 people),IT.NET.USER.P2,..,0.002992874,0.029527065,0.043705951,0.086277081,0.141954704,0.280339882,0.83076668,3.284481956,7.038683086,9.780807285,10.88212438,11.91369655,16.03668411,17.72058337,20.9272021,25.94663294,28.11262348,34,45,51,55.8,59.9,64.7,..
Argentina,ARG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,5.800000191,6.699999809,10.10000038,12.10000038,18.79999924,17.20000076,14.89999962,12.80000019,14.10000038,15,18.29999924,17.89999962,16.10000038,12.60000038,10.60000038,10.10000038,8.5,7.800000191,8.600000381,7.699999809,7.199999809,7.199999809,6.599999905,7.300000191,..
Argentina,ARG,Improved water source (% of population with access),SH.H2O.SAFE.ZS,94.1,94.3,94.6,94.9,95.1,95.4,95.6,95.8,96.1,96.3,96.5,96.7,96.9,97.1,97.3,97.5,97.7,97.9,98.1,98.2,98.4,98.6,98.8,98.9,99.1
Armenia,ARM,"Gross enrolment ratio, tertiary, both sexes (%)",SE.TER.ENRR,25.42109,25.40696,23.06499,19.11834,19.01829,16.8175,22.47459,33.10497,34.6208992,34.85655975,32.81435013,35.2394104,36.20652008,36.80102921,38.36914063,41.76501846,44.3221283,46.58058167,49.1195488,50.62446976,51.00141907,46.04359055,46.10861969,..,..
Armenia,ARM,GDP (current LCU),NY.GDP.MKTP.CN,79690000,310190016,4218409984,1.87065E+11,5.22256E+11,6.61209E+11,8.04335E+11,9.55385E+11,9.87444E+11,1.03134E+12,1.17588E+12,1.36247E+12,1.62464E+12,1.90795E+12,2.24288E+12,2.65619E+12,3.14928E+12,3.56823E+12,3.14165E+12,3.4602E+12,3.77795E+12,4.26646E+12,4.55564E+12,4.84315E+12,..
Armenia,ARM,Internet users (per 100 people),IT.NET.USER.P2,..,..,..,0.009117014,0.052743123,0.094572902,0.111650935,0.128659478,0.970737757,1.300470022,1.631094667,1.960405046,4.575217225,4.899008571,5.252983352,5.631787777,6.021253397,6.21,15.3,25,32,37.5,41.9,46.3,..
Armenia,ARM,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,..,..,..,..,36.40000153,..,..,..,35.90000153,..,..,..,..,..,28.39999962,16.39999962,18.70000076,19,18.39999962,17.29999924,16.20000076,..,..
Armenia,ARM,Improved water source (% of population with access),SH.H2O.SAFE.ZS,..,90.7,90.7,90.6,90.5,90.5,91,91.5,92.1,92.6,93.1,93.7,94.3,94.9,95.5,96.1,96.7,97.3,97.9,98.4,99,99.7,99.9,100,100
Aruba,ABW,"Gross enrolment ratio, tertiary, both sexes (%)",SE.TER.ENRR,..,..,..,..,..,..,..,..,28.06677055,29.65608025,29.05586052,26.69796944,26.7562809,26.30441093,31.68346977,30.90319061,33.92612839,35.24048996,35.36231995,37.3517189,38.73762131,37.76113129,..,..,..
Aruba,ABW,GDP (current LCU),NY.GDP.MKTP.CN,..,..,..,2381000000,2364000000,2470000000,2742000000,2981000000,3083810000,3353480000,3437270000,3474560000,3618130000,3988620000,4172500000,4334440000,4696470000,4997610000,4473090000,4417190000,4626190000,..,..,..,..
Aruba,ABW,Internet users (per 100 people),IT.NET.USER.P2,..,..,..,..,..,2.768382663,..,..,4.506179098,15.44282295,17.1,18.8,20.8,23,25.4,28,30.9,52,58,62,69,74,78.9,83.78,..
Aruba,ABW,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,6.099999905,..,..,6.699999809,..,..,7.5,..,..,6.900000095,6.900000095,..,..,..,..,..,5.699999809,..,..,10.60000038,..,..,..,..,..
Aruba,ABW,Improved water source (% of population with access),SH.H2O.SAFE.ZS,91.3,91.6,91.9,92.3,92.6,92.9,93.2,93.6,93.9,94.2,94.5,94.9,95.2,95.5,95.8,96.2,96.5,96.8,97.1,97.4,97.8,98.1,98.1,98.1,98.1
Australia,AUS,"Gross enrolment ratio, tertiary, both sexes (%)",SE.TER.ENRR,38.02008,39.41102,65.11077,66.53006,70.20863,74.98175,79.68812,67.26661,65.57697296,65.0253067,65.19178009,74.02366638,71.98738861,70.53540802,71.2420578,70.46399689,71.45716095,71.83235168,75.62999725,79.77162933,83.2434082,86.33409119,88.51281738,..,..
Australia,AUS,GDP (current LCU),NY.GDP.MKTP.CN,4.14815E+11,4.22927E+11,4.43968E+11,4.66615E+11,4.95554E+11,5.2896E+11,5.56573E+11,5.88679E+11,6.20243E+11,6.60728E+11,7.05221E+11,7.53388E+11,8.0072E+11,8.61327E+11,9.21929E+11,9.97534E+11,1.08653E+12,1.17794E+12,1.25846E+12,1.2968E+12,1.4098E+12,1.49105E+12,1.52438E+12,1.58458E+12,..
Australia,AUS,Internet users (per 100 people),IT.NET.USER.P2,1.097203891,1.768764913,1.974611016,2.232101254,2.759654513,3.27524987,16.36935838,30.81323944,40.7837839,46.75611561,52.68926643,..,..,..,63,66,69.45,71.67,74.25,76,79.48769771,79,83,84.56,..
Australia,AUS,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,9.600000381,10.80000019,10.89999962,9.800000191,8.5,8.600000381,8.5,7.800000191,7,6.300000191,6.800000191,6.400000095,5.900000095,5.400000095,5,4.800000191,4.400000095,4.199999809,5.599999905,5.199999809,5.099999905,5.199999809,5.699999809,6.099999905,..
Australia,AUS,Improved water source (% of population with access),SH.H2O.SAFE.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Austria,AUT,"Gross enrolment ratio, tertiary, both sexes (%)",SE.TER.ENRR,34.46389,37.51856,39.80814,42.43485,45.30263,48.04305,50.34911,53.32503,55.30144882,57.09373856,56.82897186,46.12931061,45.70463943,46.33501053,46.94947052,48.8146286,50.90288162,56.03210068,60.6905098,68.72151947,70.99989319,72.43605804,80.54821014,..,..
Austria,AUT,GDP (current LCU),NY.GDP.MKTP.CN,1.47109E+11,1.55414E+11,1.6054E+11,1.68548E+11,1.76183E+11,1.82133E+11,1.8831E+11,1.95828E+11,2.03418E+11,2.13196E+11,2.20096E+11,2.26303E+11,2.30999E+11,2.41505E+11,2.53009E+11,2.66478E+11,2.82347E+11,2.9193E+11,2.86188E+11,2.94628E+11,3.0863E+11,3.17056E+11,3.22878E+11,3.29296E+11,..
Austria,AUT,Internet users (per 100 people),IT.NET.USER.P2,0.259081553,0.642817619,0.76534273,1.393422968,1.890210524,6.909162353,9.533974317,15.42121932,23.0443171,33.73013295,39.18545018,36.56,42.7,54.28,58,63.6,69.37,72.87,73.45,75.17,78.7399931,80.02999392,80.6188,81,..
Austria,AUT,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,3.400000095,3.599999905,4.300000191,3.5,4.300000191,5.300000191,5.099999905,5.5,4.699999809,4.699999809,4,4.800000191,4.800000191,5.800000191,5.599999905,5.199999809,4.900000095,4.099999905,5.300000191,4.800000191,4.599999905,4.900000095,5.300000191,5.599999905,..
Austria,AUT,Improved water source (% of population with access),SH.H2O.SAFE.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Azerbaijan,AZE,"Gross enrolment ratio, tertiary, both sexes (%)",SE.TER.ENRR,23.65213,24.28284,21.47215,18.74535,17.83369,17.5665,17.20257,..,..,..,..,..,..,..,..,19.78945923,19.36459923,19.04788971,19.05771065,19.26004028,19.64731026,20.4384594,..,..,..
Azerbaijan,AZE,GDP (current LCU),NY.GDP.MKTP.CN,534400,4820100,31416400,374677400,2133800000,2732640000,3158280000,3440620000,3775080000,4718100000,5315600000,6062440000,7146500000,8530300000,12522500000,18746230000,28360500000,40137200000,35601500000,42465000000,52082000000,53995000000,57708200000,58977800000,..
Azerbaijan,AZE,Internet users (per 100 people),IT.NET.USER.P2,..,..,..,0.001431415,0.002055556,0.006354585,0.025187933,0.037485109,0.099228942,0.147757576,0.305564638,4.999713678,..,..,8.030375356,11.99217733,14.54,17.08,27.4,46,50,54.2,58.7,61,..
Azerbaijan,AZE,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,..,..,..,..,..,..,16.29999924,11.80000019,10.89999962,10,9.199999809,8,7.300000191,6.599999905,6.300000191,5.900000095,5.699999809,5.599999905,5.400000095,5.199999809,5,4.900000095,..
Azerbaijan,AZE,Improved water source (% of population with access),SH.H2O.SAFE.ZS,69,68.9,68.8,69.5,70.2,70.9,71.7,72.4,73.2,74.1,75,75.8,76.7,77.6,78.5,79.3,80.2,81,81.9,82.8,83.6,84.5,85.3,86.2,87
"Bahamas, The",BHS,"Gross enrolment ratio, tertiary, both sexes (%)",SE.TER.ENRR,..,..,..,..,15.05303,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,GDP (current LCU),NY.GDP.MKTP.CN,3111160000,3109000000,3092000000,3259000000,3429000000,3609000000,4961119000,5353524000,6019972000,6327552000,6516651000,6957996000,6949317000,7094413000,7706222000,7965588000,8318996000,8246650000,7820420000,7909580000,7889750000,8234470000,8431750000,8510500000,..
"Bahamas, The",BHS,Internet users (per 100 people),IT.NET.USER.P2,..,..,..,..,0.960030721,1.746950698,1.362953903,2.33559071,3.764557822,8,11.8,18,20,22,25,26,27,31.54,33.88,43,65,71.74820281,72,76.92,..
"Bahamas, The",BHS,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,12.19999981,14.69999981,13,13.39999962,10.80000019,11.5,9.800000191,7.599999905,7.400000095,..,6.900000095,9,10.80000019,10.30000019,10.19999981,7.599999905,7.900000095,8.699999809,14.19999981,..,13.69999981,14,16.20000076,..,..
"Bahamas, The",BHS,Improved water source (% of population with access),SH.H2O.SAFE.ZS,..,..,96.3,96.3,96.3,96.3,96.3,96.3,96.4,96.6,96.7,96.9,97,97.2,97.3,97.5,97.6,97.8,97.9,98.1,98.2,98.4,98.4,98.4,98.4
Bahrain,BHR,"Gross enrolment ratio, tertiary, both sexes (%)",SE.TER.ENRR,17.23593,16.96738,17.58284,16.80606,16.59305,17.618,..,..,21.40546036,..,..,..,27.6243,..,22.7328701,21.51466942,..,..,..,..,36.55163956,33.45658112,..,40.36111069,..
Bahrain,BHR,GDP (current LCU),NY.GDP.MKTP.CN,1735700000,1786400000,1955300000,2093400100,2199399900,2294299900,2387300100,2325100000,2489499900,3407653000,3375054100,3621690300,4164133100,4944462700,6004241300,6957900000,8170480000,9667290000,8624770000,9668190000,10920570000,11564430000,12369500000,12728000000,..
Bahrain,BHR,Internet users (per 100 people),IT.NET.USER.P2,..,..,..,..,0.346205844,0.843254219,1.646299202,3.218202151,4.720358118,6.153732546,15.03863425,18.05072089,21.55494499,21.45868051,21.30373351,28.24395243,32.91,51.95,53,55,76.9999665,88,90.0000397,90.99998,..
Bahrain,BHR,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,6.300000191,..,..,..,..,..,..,..,..,..,5.5,..,..,9,..,..,..,..,..,1.100000024,1.200000048,1.200000048,..,..,..
Bahrain,BHR,Improved water source (% of population with access),SH.H2O.SAFE.ZS,94.9,94.9,94.9,95.4,96,96.6,97.1,97.7,98.3,98.9,99.4,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Bangladesh,BGD,"Gross enrolment ratio, tertiary, both sexes (%)",SE.TER.ENRR,..,..,..,..,..,..,..,..,5.441180229,5.431139946,6.409309864,6.112659931,6.159930229,5.679419994,6.219900131,7.103459835,7.656219959,8.563549995,10.46632957,..,13.15281963,13.22793007,..,..,..
Bangladesh,BGD,GDP (current LCU),NY.GDP.MKTP.CN,1.10518E+12,1.19542E+12,1.25369E+12,1.35412E+12,1.52518E+12,1.89933E+12,2.06003E+12,2.2693E+12,2.46509E+12,2.68503E+12,2.91337E+12,3.1428E+12,3.4832E+12,3.83294E+12,4.27074E+12,4.82337E+12,5.498E+12,6.28682E+12,7.05072E+12,7.97539E+12,9.15829E+12,1.0552E+13,1.19892E+13,1.34367E+13,..
Bangladesh,BGD,Internet users (per 100 people),IT.NET.USER.P2,..,..,..,..,..,..,0.000751046,0.003684813,0.036170407,0.071039423,0.129807974,0.139920289,0.163877665,0.199036334,0.241637326,1,1.8,2.5,3.1,3.7,4.5,5,6.63,9.6,..
Bangladesh,BGD,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,1.899999976,..,..,..,..,2.5,..,..,..,3.299999952,..,..,4.300000191,..,4.300000191,..,..,..,5,4.5,..,..,..,..,..
Bangladesh,BGD,Improved water source (% of population with access),SH.H2O.SAFE.ZS,68.9,69.7,70.5,71.3,72.1,72.9,73.6,74.4,75.2,76,76.7,77.5,78.3,79.1,79.8,80.6,81.3,82,82.7,83.5,84.2,84.8,85.5,86.2,86.9
Barbados,BRB,"Gross enrolment ratio, tertiary, both sexes (%)",SE.TER.ENRR,26.25948,27.79437,26.16885,..,..,..,..,..,34.09931183,40.63208008,40.283741,..,..,..,..,..,56.53316116,..,70.45052338,64.81191254,60.84252167,..,..,..,..
Barbados,BRB,GDP (current LCU),NY.GDP.MKTP.CN,4064000000,3914000000,4150000000,4327000000,4550000000,4851000000,5127000000,5781000000,6058000000,6243000000,6233000000,6339000000,6550000000,7029000000,7795000000,8607000000,9092000000,9190000000,9204000000,8891000000,8716000000,8626000000,8562000000,8709000000,..
Barbados,BRB,Internet users (per 100 people),IT.NET.USER.P2,..,..,..,..,0.007752238,0.389464214,0.783428912,1.970249237,2.376247035,3.973678355,11.93645034,27.83632242,39.68962712,49.8,52.5,55.3,58.2,61.4,64.7,65.1,67,70,73,76.67,..
Barbados,BRB,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,17.10000038,22.89999962,25.60000038,23,19.70000076,14.69999981,14.60000038,12.30000019,10.39999962,9.300000191,9.800000191,10.30000019,11,9.800000191,9.100000381,8.699999809,7.400000095,8.100000381,10,10.80000019,11.19999981,11.60000038,11.5,..,..
Barbados,BRB,Improved water source (% of population with access),SH.H2O.SAFE.ZS,96.3,96.4,96.6,96.7,96.9,97,97.2,97.3,97.5,97.6,97.8,97.9,98.1,98.2,98.4,98.5,98.7,98.8,99,99.1,99.3,99.4,99.6,99.7,99.7
Belarus,BLR,"Gross enrolment ratio, tertiary, both sexes (%)",SE.TER.ENRR,47.61299,43.82666,43.28759,41.35093,40.39518,44.54812,45.17399,49.19309,52.11727142,54.47492981,56.79771042,59.25915146,61.87503052,63.83589172,66.16838074,68.08551025,70.15585327,70.03212738,73.59158325,78.99414063,85.69712067,91.45246887,92.89483643,..,..
Belarus,BLR,GDP (current LCU),NY.GDP.MKTP.CN,8710000,92450000,985320000,17793200000,1.21403E+11,1.91839E+11,3.6683E+11,7.02161E+11,3.02606E+12,9.1338E+12,1.71732E+13,2.61383E+13,3.65648E+13,4.99918E+13,6.50671E+13,7.9267E+13,9.71653E+13,1.29791E+14,1.37442E+14,1.64476E+14,2.97158E+14,5.30356E+14,6.49111E+14,7.78456E+14,..
